mouseX,mouseY,flowerX,flowerY,time_s
134.09,102.75,137.21,110.31,0.0
134.09,102.75,146.2,101.17,0.016
134.09,102.75,155.37,93.09,0.033
134.09,102.75,165.15,85.62,0.05
134.09,102.75,175.35,78.89,0.066
135.81,101.72,186.13,72.82,0.084
143.18,96.26,197.18,67.58,0.101
148.72,92.09,208.57,63.11,0.117
155.25,86.46,220.3,59.44,0.134
160.97,82.52,232.2,56.6,0.151
165.5,78.81,244.33,54.59,0.167
169.07,75.23,256.58,53.43,0.184
177.32,68.9,268.87,53.13,0.2
187.78,61.19,281.16,53.69,0.217
197.46,54.78,293.38,55.11,0.234
211.73,47.67,305.33,57.35,0.25
225.95,41.15,317.3,60.47,0.267
238.95,36.04,328.89,64.37,0.284
257.7,30.25,340.24,69.1,0.301
275.07,26.53,351.18,74.58,0.318
288.83,25.91,361.76,80.84,0.334
305.21,25.91,371.89,87.82,0.35
323.84,25.91,381.5,95.5,0.367
332.45,28.9,390.5,103.78,0.383
339.91,32.66,398.95,112.72,0.401
347.66,37.46,406.75,122.22,0.417
361.61,47.16,413.88,132.25,0.434
377.82,58.82,420.24,142.69,0.45
391.04,70.13,425.9,153.61,0.467
403.16,81.66,430.75,164.83,0.483
407.68,87.3,434.71,176.02,0.499
420.47,109.57,438.1,188.3,0.517
426.08,127.0,440.52,200.28,0.533
435.04,153.9,442.1,212.48,0.55
443.54,184.13,442.83,224.76,0.567
451.42,215.69,442.7,236.99,0.584
455.14,243.33,441.71,249.25,0.6
456.54,255.3,439.88,261.34,0.616
459.16,284.34,437.2,273.34,0.634
460.45,303.84,433.68,285.13,0.65
460.45,318.31,429.35,296.64,0.667
460.45,327.72,424.26,307.76,0.684
457.14,335.18,418.67,318.05,0.699
450.72,342.61,411.78,328.86,0.717
443.28,349.03,404.4,338.79,0.734
435.14,355.13,396.44,348.07,0.75
427.7,361.06,387.8,356.83,0.767
420.68,365.73,378.63,364.91,0.783
410.51,369.79,368.86,372.38,0.801
392.1,373.62,358.58,379.15,0.817
370.45,375.64,347.93,385.15,0.834
353.95,376.85,336.82,390.42,0.85
343.55,377.41,325.43,394.89,0.867
323.18,379.05,313.7,398.56,0.884
315.22,380.43,301.73,401.41,0.9
306.57,382.35,289.67,403.41,0.917
297.15,384.33,277.35,404.57,0.933
285.35,385.93,265.2,404.87,0.95
272.67,387.59,252.84,404.31,0.967
261.68,389.68,240.69,402.9,0.984
251.51,392.22,228.6,400.63,1.0
242.1,393.69,216.77,397.55,1.017
231.11,395.27,205.11,393.63,1.034
216.66,395.94,193.76,388.9,1.05
203.11,395.94,182.82,383.42,1.067
188.64,395.94,172.17,377.12,1.084
176.97,395.94,162.11,370.18,1.1
170.8,395.09,152.5,362.5,1.117
158.68,390.65,143.5,354.22,1.134
145.4,377.73,135.05,345.28,1.15
133.33,360.22,127.29,335.84,1.167
123.93,345.07,120.12,325.75,1.183
114.59,329.54,113.76,315.31,1.2
108.52,317.96,108.13,304.45,1.217
102.88,304.89,103.22,293.1,1.234
99.94,289.43,99.16,281.56,1.25
97.29,268.88,95.92,269.78,1.267
96.61,252.15,93.48,257.72,1.284
96.01,240.82,91.9,245.52,1.3
95.53,231.41,91.17,233.24,1.317
95.1,225.45,91.3,221.01,1.333
95.1,220.63,92.29,208.75,1.35
95.1,211.21,94.12,196.66,1.367
95.1,200.11,96.8,184.66,1.384
95.1,186.57,100.13,173.43,1.399
98.37,173.89,104.65,161.36,1.416
105.34,157.25,109.74,150.24,1.434
114.47,143.18,115.63,139.44,1.45
125.88,128.57,122.26,129.08,1.467
136.12,115.96,129.55,119.27,1.483
148.18,101.35,137.56,109.93,1.5
158.84,89.5,146.2,101.17,1.517
167.41,80.91,155.43,93.04,1.533
175.07,73.25,165.14,85.62,1.55
187.19,61.71,175.42,78.85,1.567
200.55,51.42,186.07,72.85,1.583
208.33,45.58,196.71,67.78,1.599
225.27,36.8,208.56,63.11,1.617
236.55,32.45,220.3,59.44,1.633
245.2,30.52,232.27,56.59,1.65
253.85,30.03,244.4,54.58,1.667
263.26,30.03,256.58,53.43,1.683
277.41,35.58,268.87,53.13,1.7
291.96,44.09,281.16,53.69,1.717
303.8,53.63,293.31,55.1,1.733
317.45,64.79,305.4,57.37,1.75
329.02,74.63,317.23,60.45,1.767
340.3,83.65,328.89,64.37,1.783
354.98,95.16,340.24,69.1,1.8
367.42,105.22,351.24,74.61,1.817
377.61,113.69,361.76,80.84,1.833
388.33,122.71,371.89,87.82,1.85
393.17,127.07,381.05,95.12,1.866
397.84,131.31,390.55,103.83,1.884
402.08,135.98,398.9,112.66,1.9
405.36,140.51,406.75,122.22,1.917
408.87,146.23,413.83,132.19,1.933
412.6,154.17,420.24,142.69,1.95
416.55,163.58,425.9,153.61,1.967
420.85,175.5,430.75,164.83,1.984
423.98,186.59,434.84,176.44,2.0
425.84,194.54,438.1,188.3,2.017
427.25,202.48,440.52,200.28,2.034
428.75,211.89,442.1,212.48,2.05
429.74,221.3,442.82,224.69,2.067
430.25,231.46,442.7,236.99,2.083
430.25,241.63,441.77,248.74,2.101
430.25,252.61,439.86,261.41,2.117
430.25,263.59,437.2,273.34,2.134
429.23,274.57,433.68,285.13,2.151
426.6,285.55,429.35,296.64,2.167
422.84,297.34,424.26,307.76,2.184
416.77,308.91,418.37,318.56,2.2
410.13,319.92,411.74,328.92,2.217
403.13,330.13,404.45,338.73,2.234
395.61,339.78,396.44,348.07,2.25
387.53,348.93,387.8,356.83,2.267
377.93,359.08,378.63,364.91,2.284
365.61,369.79,368.86,372.38,2.3
353.45,379.04,358.65,379.11,2.317
341.29,387.13,347.93,385.15,2.334
323.8,395.44,336.82,390.42,2.35
