mouseX,mouseY,flowerX,flowerY,time_s
126.27,110.91,133.68,111.3,0.0
126.27,110.91,135.51,109.28,0.016
126.27,110.91,137.48,107.17,0.032
126.27,110.91,139.62,104.96,0.05
126.27,110.91,141.66,102.92,0.067
126.27,110.91,143.64,101.01,0.083
126.27,110.91,145.86,98.93,0.1
126.27,110.91,148.02,96.99,0.117
126.27,110.91,150.2,95.07,0.133
126.27,110.91,152.29,93.31,0.149
126.27,110.91,154.66,91.38,0.167
126.27,110.91,156.93,89.59,0.183
126.27,110.91,159.23,87.83,0.2
126.27,110.68,161.56,86.12,0.219
133.27,101.2,163.93,84.43,0.235
143.98,88.72,166.32,82.79,0.251
157.31,74.76,168.74,81.19,0.268
173.21,60.84,171.18,79.63,0.284
185.84,51.66,173.65,78.11,0.301
198.57,43.54,176.01,76.71,0.318
204.79,39.94,178.67,75.2,0.335
210.79,36.93,181.05,73.89,0.355
214.0,35.85,183.63,72.53,0.366
215.93,34.88,186.36,71.15,0.384
216.76,34.61,188.96,69.89,0.401
217.27,34.61,191.6,68.66,0.417
218.41,34.32,194.25,67.49,0.434
219.61,34.01,196.91,66.36,0.451
220.75,33.72,199.6,65.27,0.467
222.26,33.72,202.31,64.22,0.484
223.77,33.4,205.02,63.23,0.501
225.27,33.4,207.76,62.28,0.518
227.15,33.4,210.52,61.37,0.534
229.02,33.4,213.11,60.56,0.55
231.75,33.4,216.07,59.7,0.567
234.48,33.4,218.85,58.93,0.584
236.35,33.71,221.66,58.21,0.601
237.86,34.0,224.49,57.54,0.618
238.69,34.54,227.32,56.91,0.634
239.83,35.11,230.15,56.33,0.651
241.76,35.74,232.99,55.8,0.667
243.64,36.36,235.87,55.31,0.684
246.84,37.44,238.72,54.88,0.701
250.53,38.55,241.44,54.51,0.716
253.74,39.25,244.47,54.15,0.734
256.95,39.96,247.37,53.85,0.751
260.86,41.12,250.25,53.61,0.767
267.57,42.28,253.15,53.41,0.784
272.55,43.52,256.05,53.26,0.801
276.78,44.68,258.83,53.17,0.817
280.46,45.41,261.82,53.11,0.834
283.67,46.49,264.72,53.11,0.851
286.4,47.17,267.61,53.15,0.867
289.61,48.22,270.53,53.24,0.884
292.81,49.27,273.41,53.39,0.901
296.13,50.77,276.29,53.57,0.917
299.34,52.18,279.19,53.81,0.934
302.06,53.2,282.08,54.1,0.951
305.27,54.25,284.94,54.43,0.967
308.0,55.27,287.82,54.81,0.984
311.2,56.69,290.69,55.24,1.001
314.95,58.21,293.54,55.72,1.018
317.73,59.58,296.35,56.23,1.034
321.41,61.05,299.24,56.82,1.051
325.1,62.9,302.06,57.43,1.068
328.79,64.74,304.87,58.1,1.084
332.48,66.95,307.71,58.82,1.101
335.68,68.37,310.36,59.53,1.117
337.98,69.68,313.28,60.38,1.134
339.86,70.93,316.06,61.23,1.151
341.73,71.86,318.8,62.13,1.167
343.24,72.77,321.55,63.08,1.184
345.54,74.08,324.29,64.07,1.201
347.42,75.33,326.99,65.11,1.217
349.29,76.27,329.52,66.12,1.233
350.43,77.12,332.36,67.32,1.251
351.57,77.98,335.0,68.48,1.267
352.71,78.55,337.48,69.62,1.283
353.86,79.4,340.24,70.95,1.301
355.57,80.54,342.83,72.25,1.318
356.71,81.4,345.39,73.59,1.334
357.85,82.25,347.94,74.98,1.351
359.36,83.45,350.45,76.4,1.368
360.86,84.64,352.96,77.88,1.384
362.74,85.89,355.43,79.39,1.401
364.7,87.54,357.89,80.95,1.417
366.75,89.22,360.31,82.54,1.434
368.79,91.27,362.71,84.18,1.451
370.44,93.23,365.07,85.85,1.467
373.59,96.8,367.4,87.55,1.484
375.69,99.21,369.71,89.31,1.501
377.9,102.53,371.99,91.1,1.517
380.11,105.85,374.25,92.93,1.534
381.84,108.27,376.47,94.8,1.551
383.2,110.99,378.64,96.68,1.567
385.01,114.31,380.7,98.53,1.583
386.51,117.63,382.93,100.6,1.601
387.56,120.41,385.02,102.61,1.617
389.41,124.09,387.08,104.66,1.634
390.99,128.0,389.11,106.74,1.651
393.06,133.36,391.07,108.83,1.667
394.64,138.11,393.04,110.99,1.684
396.12,141.86,394.95,113.15,1.701
397.3,146.61,396.83,115.36,1.717
398.38,149.82,398.67,117.59,1.734
399.04,152.12,400.47,119.86,1.751
399.66,154.0,402.15,122.04,1.766
400.23,155.14,403.97,124.48,1.784
400.8,156.28,405.66,126.84,1.801
401.09,157.11,407.31,129.23,1.818
401.34,157.62,408.91,131.63,1.834
401.6,158.14,410.5,134.09,1.85
401.86,158.65,412.01,136.53,1.867
402.38,158.91,413.51,139.03,1.884
402.62,158.91,414.96,141.55,1.901
402.88,159.17,416.35,144.08,1.917
403.12,159.17,417.71,146.63,1.933
403.36,159.17,419.03,149.21,1.95
403.6,159.17,420.31,151.82,1.967
403.6,159.17,421.53,154.42,1.983
403.84,159.17,420.3,151.8,2.001
403.84,159.17,419.02,149.2,2.017
403.84,159.17,417.7,146.61,2.033
