mouseX,mouseY,flowerX,flowerY,time_s
299.42,54.71,292.66,55.01,5.0
302.63,55.08,295.57,55.46,5.017
307.98,55.9,298.46,55.96,5.033
312.54,56.66,301.33,56.51,5.05
318.48,58.36,304.2,57.1,5.067
325.78,60.16,307.05,57.74,5.085
338.81,64.48,309.92,58.44,5.101
344.27,66.58,312.75,59.18,5.117
350.22,68.7,315.56,59.96,5.133
353.43,70.12,318.38,60.79,5.15
355.36,71.08,321.18,61.68,5.167
356.87,71.68,323.95,62.6,5.183
358.38,72.56,326.74,63.58,5.2
361.1,73.92,329.47,64.59,5.217
363.83,75.28,332.21,65.66,5.234
367.52,77.13,334.93,66.77,5.25
371.2,78.6,337.61,67.92,5.266
373.93,79.62,340.28,69.12,5.283
376.23,80.59,342.94,70.36,5.3
378.53,81.58,345.57,71.65,5.316
381.74,83.36,348.18,72.98,5.333
384.04,84.67,350.77,74.35,5.35
386.99,86.88,353.34,75.78,5.366
388.59,88.47,355.87,77.23,5.383
390.09,89.67,358.41,78.74,5.4
390.92,90.5,360.91,80.29,5.417
391.46,91.32,363.36,81.87,5.433
392.61,92.18,365.79,83.49,5.45
393.8,93.69,368.19,85.15,5.466
395.45,95.65,370.58,86.86,5.483
397.1,97.61,372.94,88.61,5.5
398.29,99.12,375.27,90.4,5.516
399.15,100.26,377.54,92.2,5.533
399.69,101.09,379.84,94.09,5.55
400.23,101.91,382.06,95.98,5.567
400.83,103.42,384.27,97.92,5.583
401.43,104.93,386.42,99.89,5.6
402.08,107.23,388.56,101.9,5.616
403.02,109.11,390.67,103.95,5.633
404.32,112.34,392.73,106.02,5.65
404.98,114.64,394.76,108.13,5.667
405.29,116.52,396.77,110.28,5.683
405.6,118.39,398.72,112.45,5.7
405.91,120.27,400.65,114.67,5.717
406.23,122.14,402.47,116.84,5.733
406.54,124.45,404.39,119.2,5.75
406.93,128.67,406.19,121.49,5.766
406.93,132.36,407.96,123.82,5.783
407.33,137.11,409.71,126.2,5.8
407.33,140.8,411.39,128.58,5.816
407.33,144.01,413.04,130.99,5.833
407.33,145.88,414.66,133.45,5.85
407.33,146.71,416.23,135.93,5.866
407.33,147.23,417.76,138.43,5.883
407.33,147.23,419.25,140.95,5.899
407.33,147.23,420.7,143.5,5.916
407.33,147.23,422.1,146.08,5.933
407.33,147.23,423.46,148.67,5.949
407.33,147.23,424.78,151.29,5.966
407.33,147.23,426.05,153.93,5.983
407.33,147.23,426.05,153.93,5.999
407.33,147.23,424.78,151.29,6.016
407.33,147.23,423.46,148.67,6.033
407.33,147.23,422.09,146.06,6.05
407.33,147.23,420.7,143.5,6.066
407.33,146.99,419.26,140.96,6.083
407.33,146.48,417.76,138.43,6.1
407.33,146.48,416.23,135.93,6.116
407.33,146.24,414.66,133.45,6.133
407.33,146.24,413.04,130.99,6.15
407.33,146.24,411.39,128.58,6.166
407.33,146.24,409.7,126.19,6.183
407.33,146.24,407.97,123.83,6.199
407.33,146.01,406.19,121.49,6.218
