mouseX,mouseY,flowerX,flowerY,time_s
307.13,60.51,289.27,55.02,5.0
312.14,62.69,292.12,55.47,5.016
316.9,65.06,294.98,55.98,5.033
321.12,66.96,297.83,56.52,5.05
324.44,68.8,300.66,57.12,5.066
326.32,69.74,303.49,57.76,5.083
328.19,70.99,306.31,58.45,5.1
330.07,72.24,309.12,59.19,5.116
332.03,73.89,311.9,59.97,5.133
334.44,75.31,314.58,60.77,5.149
336.32,76.56,317.45,61.68,5.166
337.82,77.44,320.18,62.6,5.183
339.33,78.32,322.92,63.57,5.2
341.21,79.26,325.63,64.58,5.216
343.14,80.51,328.33,65.64,5.233
346.46,82.84,331.0,66.74,5.25
348.77,84.14,333.67,67.89,5.266
350.64,85.08,336.31,69.08,5.283
351.78,85.94,338.92,70.31,5.3
352.92,86.79,341.53,71.59,5.316
353.44,87.31,344.11,72.92,5.333
354.27,87.85,346.68,74.28,5.35
355.41,88.42,349.17,75.67,5.366
356.23,88.96,351.71,77.14,5.383
357.38,89.54,354.19,78.62,5.4
358.52,90.39,356.66,80.16,5.416
359.66,90.96,359.08,81.72,5.433
361.16,92.16,361.51,83.35,5.45
363.04,93.41,363.88,85.0,5.466
365.34,94.71,366.24,86.69,5.483
368.18,96.5,368.55,88.42,5.499
370.56,97.68,370.86,90.2,5.516
374.82,100.15,373.12,92.0,5.533
377.23,101.88,375.34,93.84,5.55
379.62,103.59,377.55,95.73,5.566
381.58,105.23,379.73,97.65,5.583
383.54,106.88,381.87,99.61,5.599
385.59,108.56,383.97,101.59,5.616
387.23,110.52,386.04,103.61,5.633
389.36,113.02,388.09,105.69,5.65
391.06,115.4,390.09,107.77,5.666
393.19,117.9,391.99,109.82,5.682
395.4,120.82,394.0,112.06,5.699
397.61,123.75,395.89,114.25,5.716
399.88,127.09,397.75,116.47,5.733
403.25,132.11,399.58,118.73,5.75
405.46,135.03,401.37,121.02,5.766
407.87,139.17,403.11,123.32,5.783
409.17,141.47,404.82,125.67,5.799
410.08,142.98,406.48,128.03,5.816
410.94,144.12,408.12,130.43,5.833
411.51,145.26,409.7,132.84,5.85
412.36,146.4,411.25,135.3,5.866
412.91,147.23,412.76,137.78,5.883
413.45,148.06,414.22,140.27,5.9
413.96,148.57,415.65,142.8,5.916
414.51,149.4,417.04,145.35,5.933
414.77,149.92,418.38,147.92,5.95
415.28,150.43,419.67,150.5,5.966
415.54,150.95,420.92,153.11,5.983
415.8,151.46,420.92,153.11,6.0
415.8,151.46,419.67,150.5,6.016
415.8,151.7,418.37,147.91,6.033
415.8,151.7,417.03,145.33,6.049
415.8,151.7,415.65,142.8,6.066
415.8,151.7,414.22,140.27,6.082
415.8,151.7,412.75,137.76,6.099
415.8,151.7,411.24,135.28,6.116
415.8,151.7,409.7,132.84,6.132
415.8,151.7,408.11,130.41,6.15
415.8,151.7,406.48,128.03,6.166
415.8,151.7,404.81,125.65,6.182
415.8,151.7,403.11,123.32,6.199
415.8,151.7,401.35,120.99,6.217
415.8,151.21,399.57,118.72,6.233
415.22,150.37,397.74,116.46,6.25
414.07,149.22,395.89,114.25,6.266
413.18,147.71,393.99,112.05,6.283
403.8,135.39,392.06,109.9,6.3
401.08,132.67,390.15,107.83,6.315
393.95,124.2,388.09,105.69,6.333
392.24,121.65,386.16,103.73,6.349
389.54,118.18,384.08,101.7,6.365
387.18,114.82,381.97,99.7,6.382
386.29,113.3,379.73,97.65,6.4
385.34,111.42,377.55,95.73,6.416
384.14,109.9,375.34,93.84,6.433
382.93,108.39,373.11,91.99,6.449
382.3,107.45,370.97,90.29,6.465
377.73,102.89,368.67,88.51,6.482
374.12,99.29,366.36,86.79,6.499
368.85,94.45,363.88,85.0,6.517
365.25,91.21,361.51,83.35,6.533
362.23,88.59,359.09,81.73,6.55
360.18,86.91,356.66,80.16,6.566
359.03,85.76,354.19,78.62,6.583
358.19,85.21,351.82,77.2,6.599
357.36,84.95,349.2,75.69,6.616
355.47,84.32,346.66,74.28,6.633
353.59,83.37,344.11,72.92,6.649
350.74,81.92,341.53,71.59,6.666
348.43,80.61,338.92,70.31,6.683
346.46,78.95,336.31,69.08,6.7
344.58,78.0,333.67,67.89,6.716
343.43,77.14,331.0,66.74,6.733
341.13,76.48,328.33,65.64,6.75
336.89,75.71,325.61,64.57,6.766
330.94,74.43,322.9,63.56,6.783
325.47,73.24,320.17,62.59,6.8
320.11,71.59,317.41,61.67,6.816
315.88,70.05,314.66,60.8,6.833
313.14,68.68,311.9,59.97,6.85
310.69,67.45,309.1,59.19,6.867
309.54,67.16,306.29,58.45,6.884
307.66,66.53,303.49,57.76,6.899
305.35,66.21,300.66,57.12,6.916
302.13,65.5,297.81,56.52,6.933
298.92,64.44,294.96,55.97,6.95
294.69,62.9,292.12,55.47,6.966
291.9,61.84,289.25,55.02,6.983
288.2,60.36,286.37,54.61,7.0
283.44,58.77,283.67,54.28,7.015
278.08,57.94,280.61,53.95,7.033
272.13,57.09,277.73,53.69,7.05
265.95,55.75,274.85,53.47,7.066
261.72,54.98,271.95,53.31,7.083
257.49,54.21,269.05,53.19,7.1
254.27,53.5,266.2,53.12,7.116
251.06,53.16,263.42,53.1,7.132
247.84,52.81,260.36,53.13,7.149
243.02,52.81,257.47,53.21,7.166
239.8,52.81,254.57,53.33,7.183
235.04,52.81,251.67,53.51,7.2
231.34,52.81,248.78,53.73,7.216
228.61,52.81,245.9,54.0,7.233
225.88,52.81,243.01,54.31,7.25
223.57,52.81,240.13,54.68,7.266
220.83,52.81,237.28,55.09,7.283
217.62,52.81,234.41,55.55,7.3
213.92,53.55,231.57,56.06,7.316
210.71,54.25,228.72,56.62,7.333
207.01,55.36,225.89,57.22,7.35
203.8,56.41,223.05,57.87,7.366
199.21,57.82,220.25,58.57,7.383
196.91,58.82,217.46,59.31,7.399
194.6,59.81,214.64,60.11,7.416
192.29,60.8,211.88,60.94,7.433
188.96,61.91,209.12,61.83,7.449
185.21,63.43,206.36,62.76,7.466
181.52,65.28,203.65,63.73,7.483
