mouseX,mouseY,flowerX,flowerY,time_s
130.97,115.91,134.46,113.4,0.0
130.97,115.91,136.39,111.21,0.017
130.97,115.91,138.39,109.03,0.033
130.97,115.91,140.4,106.92,0.05
130.97,115.91,142.45,104.82,0.067
130.97,115.91,144.43,102.87,0.082
130.97,115.91,146.54,100.85,0.099
130.97,115.91,148.82,98.75,0.117
130.97,115.91,151.0,96.81,0.133
130.97,115.91,153.1,94.99,0.149
130.97,114.87,155.47,93.01,0.168
131.31,112.93,157.75,91.17,0.184
132.96,110.96,160.06,89.37,0.2
134.61,108.99,162.41,87.6,0.217
137.7,105.92,164.77,85.88,0.234
141.16,103.22,167.18,84.2,0.25
144.08,101.0,169.61,82.55,0.267
148.05,97.82,172.05,80.95,0.284
151.96,95.43,174.55,79.38,0.301
156.49,91.72,177.05,77.87,0.317
161.02,88.43,179.57,76.39,0.334
166.12,84.6,182.15,74.95,0.352
171.83,81.08,184.72,73.56,0.367
175.74,78.7,187.31,72.22,0.384
179.6,76.39,189.94,70.91,0.4
182.38,75.02,192.59,69.64,0.417
183.89,74.13,195.26,68.42,0.434
185.39,73.53,197.8,67.31,0.449
186.22,72.98,200.5,66.18,0.466
187.73,72.37,203.21,65.1,0.483
190.03,71.06,206.12,64.0,0.5
192.33,69.75,208.87,63.01,0.517
195.17,68.29,211.65,62.06,0.534
197.47,67.29,214.43,61.17,0.55
200.68,65.5,217.24,60.31,0.567
203.41,64.13,220.04,59.51,0.584
207.32,61.75,222.88,58.75,0.601
210.52,60.66,225.73,58.03,0.617
214.21,58.81,228.61,57.37,0.634
218.43,57.27,231.45,56.76,0.651
222.12,55.79,234.33,56.19,0.667
225.33,54.36,237.13,55.68,0.683
229.9,52.62,240.1,55.19,0.7
232.63,51.93,243.0,54.77,0.717
235.83,50.85,245.92,54.39,0.735
238.56,50.16,248.84,54.06,0.75
241.77,49.42,251.74,53.79,0.767
244.49,48.73,254.51,53.57,0.783
247.22,48.04,257.6,53.38,0.801
249.95,48.04,260.52,53.24,0.818
252.67,47.7,263.45,53.16,0.834
255.88,47.7,266.37,53.13,0.851
258.61,47.36,269.31,53.14,0.869
262.29,47.36,272.25,53.2,0.883
265.5,47.36,275.16,53.31,0.9
268.71,47.36,278.1,53.47,0.917
272.39,47.36,281.03,53.68,0.934
277.21,47.78,283.93,53.94,0.952
281.97,49.36,286.86,54.25,0.967
286.95,51.4,289.77,54.6,0.984
292.3,53.86,292.66,55.01,1.0
297.29,56.35,295.56,55.46,1.017
301.03,57.82,298.46,55.96,1.034
304.72,59.66,301.34,56.51,1.05
307.45,61.02,304.2,57.1,1.067
310.17,62.38,307.05,57.74,1.084
312.05,63.63,309.91,58.44,1.1
313.92,64.57,312.75,59.18,1.117
316.22,65.56,315.56,59.96,1.134
318.1,66.5,318.38,60.8,1.15
319.61,67.41,321.18,61.68,1.167
321.11,68.01,323.95,62.6,1.184
322.99,68.63,326.74,63.58,1.2
326.68,70.48,329.46,64.59,1.217
330.59,71.64,332.21,65.66,1.234
337.3,73.98,334.91,66.76,1.251
339.6,74.98,337.61,67.92,1.267
342.33,75.66,340.29,69.12,1.284
343.84,76.25,342.94,70.36,1.3
344.98,76.82,345.57,71.65,1.317
346.48,77.73,348.19,72.99,1.336
349.27,78.73,350.78,74.36,1.35
352.11,80.17,353.2,75.7,1.366
355.79,81.64,355.89,77.24,1.384
359.0,82.72,358.39,78.73,1.4
361.3,83.71,360.89,80.28,1.417
364.03,84.73,363.36,81.87,1.434
366.33,85.7,365.79,83.49,1.45
370.02,87.54,368.21,85.16,1.467
372.86,88.99,370.54,86.83,1.484
375.58,90.35,372.94,88.61,1.5
377.88,91.65,375.27,90.4,1.517
379.76,92.9,377.55,92.21,1.534
380.9,93.47,379.82,94.08,1.551
382.04,94.33,382.06,95.98,1.567
383.55,95.52,384.15,97.82,1.583
385.42,96.77,386.31,99.78,1.6
387.38,98.42,388.58,101.91,1.617
389.34,100.07,390.67,103.95,1.634
391.3,101.72,392.73,106.02,1.65
393.8,103.85,394.76,108.13,1.667
397.46,107.45,396.77,110.28,1.684
399.56,109.86,398.72,112.45,1.701
402.79,113.46,400.65,114.67,1.719
405.48,116.92,402.54,116.92,1.735
407.52,118.96,404.38,119.18,1.751
408.43,120.47,406.19,121.49,1.768
409.29,121.61,407.87,123.71,1.783
410.09,122.7,409.7,126.19,1.801
410.92,123.53,411.39,128.58,1.817
412.06,124.67,413.05,131.01,1.834
413.2,125.81,414.66,133.45,1.85
414.05,126.95,416.15,135.79,1.866
414.88,127.78,417.68,138.3,1.883
415.45,128.92,419.2,140.87,1.9
416.7,130.79,420.69,143.49,1.917
418.01,133.21,422.09,146.06,1.933
419.38,135.99,423.46,148.67,1.95
420.68,138.29,424.78,151.29,1.967
421.54,139.43,426.05,153.93,1.984
422.08,140.26,426.05,153.93,2.0
422.34,140.77,424.78,151.29,2.017
422.59,141.29,423.46,148.68,2.034
422.85,141.8,422.1,146.08,2.05
423.14,142.95,420.7,143.5,2.067
423.14,144.09,419.26,140.96,2.084
423.14,145.23,417.75,138.42,2.1
423.14,146.73,416.23,135.93,2.117
423.14,147.88,414.66,133.45,2.134
423.14,148.39,413.04,130.99,2.15
423.14,148.91,411.39,128.58,2.167
423.14,149.16,409.7,126.19,2.183
423.14,149.16,407.96,123.82,2.2
423.14,149.16,406.18,121.48,2.217
423.14,149.16,404.48,119.31,2.232
423.14,149.16,402.63,117.03,2.249
423.14,149.16,400.65,114.67,2.267
423.14,149.16,398.72,112.45,2.284
422.67,148.93,396.77,110.28,2.301
418.95,144.39,394.76,108.13,2.317
414.42,137.99,392.74,106.03,2.334
411.55,133.59,390.78,104.06,2.349
408.57,128.07,388.67,102.0,2.366
405.45,121.39,386.42,99.89,2.384
403.23,118.43,384.27,97.92,2.401
401.52,115.88,382.18,96.09,2.416
396.47,111.11,379.82,94.08,2.434
392.44,107.88,377.61,92.26,2.451
389.42,105.26,375.39,90.5,2.466
386.91,102.75,372.94,88.61,2.484
