mouseX,mouseY,flowerX,flowerY,time_s
367.86,104.13,365.18,85.93,2.499
366.65,102.04,362.68,84.16,2.518
365.79,100.89,360.3,82.53,2.535
364.58,99.37,357.87,80.94,2.55
363.43,98.22,355.42,79.38,2.567
362.23,96.71,352.96,77.88,2.584
361.03,95.19,350.45,76.4,2.6
359.88,94.04,347.93,74.97,2.617
357.91,92.39,345.39,73.59,2.633
355.86,90.33,342.82,72.25,2.65
353.46,88.62,340.22,70.94,2.667
349.43,85.39,337.62,69.69,2.684
344.89,82.09,334.98,68.47,2.7
339.0,77.11,332.33,67.3,2.717
333.11,72.13,329.67,66.18,2.734
328.91,68.3,327.12,65.16,2.749
324.66,64.05,324.26,64.06,2.767
320.67,60.43,321.51,63.06,2.784
318.62,58.38,318.8,62.13,2.8
316.2,56.64,316.06,61.23,2.817
313.89,55.32,313.26,60.38,2.834
311.49,53.61,310.49,59.57,2.85
309.61,52.67,307.69,58.81,2.867
307.73,51.72,304.89,58.1,2.884
306.58,51.43,302.06,57.43,2.901
305.43,51.14,299.24,56.82,2.917
304.28,51.14,296.38,56.24,2.934
302.4,51.14,293.54,55.72,2.95
298.7,51.14,290.68,55.24,2.967
293.94,51.14,287.82,54.81,2.984
287.98,51.14,284.94,54.43,3.0
281.05,51.14,282.06,54.1,3.017
276.71,51.14,279.26,53.82,3.033
270.0,51.14,276.29,53.57,3.05
264.64,51.14,273.39,53.38,3.067
260.29,51.14,270.49,53.24,3.084
255.53,51.14,267.69,53.15,3.1
251.83,51.14,264.72,53.11,3.117
249.1,51.14,261.82,53.11,3.134
246.79,50.8,258.91,53.16,3.151
245.27,50.48,256.01,53.26,3.167
243.39,50.48,253.23,53.41,3.183
241.51,50.48,250.23,53.61,3.2
239.63,50.48,247.36,53.85,3.217
237.74,50.48,244.47,54.15,3.233
235.86,50.48,241.58,54.49,3.25
233.98,50.48,238.7,54.88,3.267
232.09,50.8,235.83,55.32,3.283
229.79,51.45,232.99,55.8,3.3
226.57,52.16,230.15,56.33,3.317
222.47,53.18,227.29,56.91,3.334
220.16,53.83,224.47,57.54,3.35
217.43,54.51,221.65,58.21,3.367
215.12,55.16,218.85,58.93,3.384
212.81,55.81,216.05,59.7,3.4
210.07,56.83,213.26,60.52,3.417
206.86,57.91,210.51,61.37,3.433
204.13,58.93,207.75,62.28,3.45
200.91,60.38,205.0,63.24,3.467
198.12,61.43,202.28,64.24,3.483
194.91,63.21,199.58,65.27,3.5
191.69,64.63,196.89,66.36,3.517
188.96,65.99,194.23,67.49,3.534
187.59,66.67,191.58,68.67,3.55
184.34,68.6,188.95,69.89,3.567
182.37,70.25,186.35,71.15,3.584
180.49,71.5,183.76,72.46,3.6
178.89,73.09,181.19,73.82,3.617
176.92,74.74,178.66,75.2,3.634
174.95,76.39,176.13,76.64,3.65
173.07,77.64,173.65,78.11,3.667
171.18,78.89,171.16,79.64,3.684
169.67,80.08,168.73,81.2,3.7
167.36,81.39,166.31,82.8,3.717
164.96,83.09,163.91,84.44,3.734
162.0,85.3,161.56,86.12,3.75
159.41,87.88,159.22,87.84,3.767
156.45,90.09,156.93,89.59,3.784
153.49,92.3,154.65,91.39,3.8
150.98,94.43,152.41,93.21,3.817
148.39,97.01,150.18,95.1,3.834
145.43,99.22,148.0,97.0,3.851
142.93,101.72,145.85,98.94,3.867
138.94,104.96,143.73,100.93,3.884
136.35,107.54,141.65,102.93,3.9
133.93,109.27,139.67,104.91,3.917
132.27,111.23,137.58,107.07,3.934
130.61,113.19,135.6,109.18,3.95
129.41,114.7,133.65,111.33,3.967
128.15,116.57,131.75,113.5,3.984
126.95,118.08,133.66,111.32,4.001
125.8,119.22,135.6,109.18,4.017
124.94,120.08,137.6,107.04,4.034
124.1,120.91,139.61,104.97,4.05
123.55,121.73,141.66,102.92,4.067
122.97,122.88,143.74,100.91,4.084
122.39,124.02,145.86,98.93,4.1
121.53,124.87,148.02,96.98,4.117
120.95,126.01,150.16,95.11,4.134
120.12,126.84,152.41,93.21,4.15
119.57,127.67,154.55,91.46,4.166
119.3,128.18,156.93,89.59,4.184
118.78,128.7,159.23,87.83,4.2
118.78,128.7,161.57,86.11,4.216
118.78,128.7,163.94,84.42,4.233
118.78,127.7,166.32,82.79,4.251
119.52,124.48,168.73,81.2,4.267
122.75,120.09,171.18,79.63,4.284
129.53,114.31,173.65,78.11,4.3
137.66,107.19,176.13,76.64,4.317
146.3,101.08,178.66,75.2,4.334
151.84,96.54,181.2,73.81,4.35
156.94,92.71,183.77,72.46,4.367
160.91,89.54,186.35,71.15,4.384
165.1,85.34,188.92,69.91,4.4
168.16,81.87,191.58,68.67,4.416
173.99,75.2,194.23,67.49,4.434
177.05,72.11,196.91,66.36,4.45
182.22,65.91,199.6,65.27,4.467
185.23,63.29,202.29,64.23,4.484
188.69,60.22,205.02,63.23,4.501
192.15,57.52,207.7,62.3,4.517
195.47,55.3,210.51,61.37,4.534
199.29,52.61,213.28,60.51,4.55
203.15,50.31,216.05,59.7,4.568
206.84,48.46,218.85,58.93,4.584
210.52,46.98,221.66,58.21,4.6
214.21,46.23,224.49,57.54,4.617
216.51,45.89,227.3,56.91,4.633
218.81,45.55,230.15,56.33,4.65
220.69,45.55,233.0,55.8,4.667
222.2,45.55,235.87,55.31,4.683
223.7,45.55,238.72,54.88,4.7
226.0,45.86,241.58,54.49,4.717
228.3,46.51,244.47,54.15,4.733
231.03,47.19,247.37,53.85,4.75
234.24,48.27,250.25,53.61,4.767
239.05,49.48,253.13,53.41,4.783
244.04,51.18,256.03,53.26,4.8
248.8,52.37,258.93,53.16,4.817
254.74,53.64,261.82,53.11,4.834
260.09,54.85,264.58,53.11,4.849
264.32,55.98,267.63,53.15,4.867
269.07,57.57,270.51,53.24,4.884
275.24,59.27,273.41,53.39,4.9
280.23,60.85,276.31,53.58,4.917
284.56,62.38,279.2,53.81,4.934
288.79,63.91,282.08,54.1,4.95
294.32,65.75,284.96,54.43,4.967
296.62,66.75,287.82,54.81,4.983
