mouseX,mouseY,flowerX,flowerY,time_s
378.96,109.11,366.22,86.68,2.5
378.13,108.27,363.88,85.0,2.516
377.29,107.72,361.49,83.34,2.533
374.38,105.75,359.08,81.72,2.55
371.96,104.01,356.66,80.16,2.566
369.57,102.3,354.19,78.62,2.583
366.61,100.08,351.7,77.13,2.6
364.21,98.37,349.2,75.69,2.616
360.18,95.55,346.68,74.28,2.633
356.32,92.88,344.11,72.92,2.65
353.44,90.75,341.53,71.59,2.666
349.75,88.53,338.92,70.31,2.683
345.09,85.23,336.31,69.08,2.7
340.7,82.42,333.67,67.89,2.716
336.3,79.19,331.01,66.74,2.733
331.2,75.78,328.33,65.64,2.749
325.28,71.62,325.63,64.58,2.766
321.7,68.46,322.92,63.57,2.783
318.37,65.88,320.17,62.59,2.801
315.52,64.08,317.51,61.7,2.816
314.01,63.16,314.68,60.8,2.833
312.86,62.88,311.95,59.99,2.85
312.02,62.88,309.1,59.19,2.866
310.88,62.88,306.29,58.45,2.883
307.18,62.5,303.47,57.76,2.9
302.95,62.5,300.69,57.13,2.916
297.59,62.08,297.81,56.52,2.933
293.36,62.08,294.98,55.98,2.949
289.67,62.08,292.12,55.47,2.966
286.93,61.73,289.25,55.02,2.983
283.72,61.73,286.39,54.62,3.0
278.36,61.73,283.51,54.26,3.017
272.41,61.73,280.62,53.95,3.033
265.16,62.18,277.73,53.69,3.05
259.68,63.0,274.85,53.47,3.066
249.4,65.23,271.97,53.31,3.083
244.04,66.45,269.07,53.19,3.1
238.09,68.14,266.16,53.12,3.116
232.14,69.41,263.26,53.1,3.133
227.91,70.17,260.37,53.13,3.15
223.68,70.93,257.47,53.21,3.166
220.46,71.3,254.57,53.33,3.183
218.15,71.64,251.69,53.5,3.2
215.84,72.29,248.78,53.73,3.217
213.54,72.95,245.9,54.0,3.233
209.79,73.68,243.01,54.31,3.249
205.87,74.41,240.15,54.68,3.266
202.12,75.15,237.28,55.09,3.283
197.89,75.91,234.43,55.55,3.299
193.12,76.7,231.57,56.06,3.316
189.43,77.43,228.72,56.62,3.333
186.21,78.14,225.89,57.22,3.349
183.48,79.16,223.05,57.87,3.366
180.74,80.18,220.26,58.56,3.383
178.01,81.2,217.44,59.31,3.399
175.7,81.85,214.66,60.1,3.416
173.39,83.16,211.88,60.94,3.433
171.51,83.78,209.13,61.82,3.45
169.99,84.38,206.36,62.76,3.466
168.48,85.26,203.66,63.72,3.483
166.59,85.89,200.94,64.74,3.5
165.08,86.48,198.24,65.81,3.516
163.93,87.05,195.58,66.92,3.533
162.41,87.65,192.91,68.07,3.55
161.58,87.91,190.27,69.27,3.566
160.43,88.48,187.65,70.52,3.583
159.28,89.05,185.17,71.74,3.599
158.13,89.91,182.48,73.13,3.616
156.41,91.05,179.92,74.51,3.633
154.89,91.93,177.4,75.91,3.65
153.75,92.79,174.89,77.37,3.666
152.23,93.98,172.42,78.86,3.683
151.08,95.12,169.94,80.42,3.7
149.57,96.32,167.52,81.99,3.716
147.68,97.25,165.11,83.61,3.733
146.17,98.45,162.73,85.27,3.75
145.02,99.59,160.39,86.97,3.766
143.5,100.79,158.07,88.71,3.783
141.85,102.75,155.77,90.49,3.8
140.28,104.31,153.52,92.29,3.816
138.96,106.61,151.29,94.15,3.833
137.31,108.57,149.09,96.04,3.849
135.09,111.52,146.93,97.96,3.866
133.43,113.48,144.8,99.91,3.883
131.72,115.87,142.68,101.92,3.9
130.01,118.26,140.62,103.95,3.916
128.64,120.98,138.59,106.02,3.933
126.99,122.95,136.67,108.03,3.949
125.73,124.82,134.63,110.24,3.966
124.84,126.33,132.7,112.41,3.983
123.98,127.47,132.71,112.4,3.999
123.69,128.61,134.63,110.24,4.016
123.11,129.75,136.6,108.11,4.033
122.82,130.58,138.6,106.0,4.05
122.56,131.09,140.62,103.95,4.066
122.3,131.61,142.68,101.92,4.083
122.04,132.13,144.8,99.91,4.1
121.77,132.13,146.94,97.95,4.116
121.77,132.13,149.09,96.04,4.132
121.77,132.13,151.3,94.14,4.149
121.77,132.13,153.52,92.29,4.166
121.54,132.13,155.79,90.48,4.185
121.54,132.13,158.07,88.71,4.199
121.54,132.13,160.39,86.97,4.216
121.54,131.31,162.75,85.26,4.233
121.85,129.43,165.11,83.61,4.25
124.12,126.07,167.52,81.99,4.266
127.82,121.96,169.87,80.46,4.282
132.07,117.29,172.4,78.87,4.3
135.66,113.68,174.89,77.37,4.316
139.37,109.57,177.4,75.91,4.333
142.32,106.61,179.92,74.51,4.349
144.54,102.91,182.49,73.12,4.368
147.23,99.07,185.06,71.8,4.383
151.75,92.73,187.65,70.52,4.4
158.87,84.59,190.27,69.27,4.417
165.98,76.45,192.91,68.07,4.433
171.75,70.68,195.54,66.93,4.449
176.59,65.83,198.24,65.81,4.466
180.55,62.6,200.94,64.74,4.483
183.05,60.46,203.65,63.73,4.5
185.44,58.75,206.38,62.75,4.516
189.13,56.53,209.13,61.82,4.533
193.94,54.14,211.88,60.94,4.549
200.73,50.97,214.68,60.1,4.566
209.38,48.56,217.46,59.31,4.583
219.54,47.03,220.25,58.57,4.6
225.71,46.18,223.06,57.87,4.616
232.3,46.18,225.89,57.22,4.633
235.99,46.18,228.73,56.61,4.65
238.29,46.18,231.57,56.06,4.666
239.49,46.18,234.43,55.55,4.683
240.63,46.18,237.29,55.09,4.7
242.39,46.18,240.15,54.68,4.716
244.27,46.18,243.03,54.31,4.733
246.57,46.18,245.92,53.99,4.749
249.3,46.18,248.79,53.73,4.766
252.02,46.18,251.69,53.5,4.783
254.32,46.83,254.59,53.33,4.8
256.63,47.14,257.47,53.21,4.816
258.93,47.45,260.37,53.13,4.833
261.23,48.11,263.26,53.1,4.85
264.43,48.81,266.16,53.12,4.866
268.66,49.57,269.07,53.19,4.883
273.64,50.82,271.95,53.31,4.899
277.38,51.55,274.85,53.47,4.916
284.09,52.91,277.75,53.69,4.933
289.77,54.55,280.62,53.95,4.95
295.24,56.27,283.51,54.26,4.966
301.18,58.39,286.39,54.62,4.983
