mouseX,mouseY,flowerX,flowerY,time_s
131.41,110.19,133.66,111.32,0.0
131.41,110.19,135.6,109.18,0.017
131.41,110.19,137.59,107.06,0.033
131.41,110.19,139.61,104.97,0.05
131.41,110.19,141.66,102.92,0.067
131.41,110.19,143.74,100.91,0.083
131.41,108.79,145.86,98.93,0.103
131.41,108.79,148.0,97.0,0.116
131.41,108.79,150.19,95.09,0.133
131.41,108.79,152.4,93.22,0.15
131.41,108.79,154.65,91.39,0.166
131.64,108.79,156.93,89.59,0.183
132.45,108.79,159.23,87.83,0.201
135.66,107.36,161.57,86.11,0.218
140.67,103.98,163.93,84.43,0.234
148.62,100.25,166.32,82.79,0.251
158.55,94.48,168.74,81.19,0.267
167.45,90.02,171.18,79.63,0.284
172.1,86.64,173.63,78.12,0.301
177.02,83.75,176.15,76.63,0.318
180.34,81.16,178.66,75.2,0.334
183.18,79.36,181.19,73.82,0.351
185.06,78.11,183.77,72.46,0.368
186.57,77.21,186.36,71.15,0.384
187.65,76.4,188.96,69.89,0.401
188.17,76.14,191.58,68.67,0.417
188.68,75.88,194.23,67.49,0.434
189.2,75.36,196.89,66.36,0.451
190.03,74.8,199.58,65.27,0.467
191.54,74.49,202.29,64.23,0.484
192.68,73.91,205.0,63.24,0.5
194.18,73.62,207.75,62.28,0.517
195.69,73.33,210.5,61.37,0.534
197.99,72.67,213.28,60.51,0.551
200.72,71.98,216.07,59.7,0.567
203.93,71.27,218.85,58.93,0.584
206.65,70.58,221.64,58.21,0.601
209.86,69.53,224.47,57.54,0.617
212.16,68.87,227.3,56.91,0.634
214.89,68.18,230.15,56.33,0.65
217.61,67.15,232.99,55.8,0.667
220.82,66.07,235.85,55.31,0.684
223.55,65.38,238.72,54.88,0.7
226.27,64.35,241.58,54.49,0.717
229.0,63.32,244.47,54.15,0.734
231.3,62.66,247.29,53.86,0.75
233.6,61.66,250.25,53.61,0.767
236.38,60.98,253.13,53.41,0.784
239.59,59.92,256.03,53.26,0.801
243.28,59.18,258.93,53.16,0.817
246.96,58.07,261.82,53.11,0.834
250.17,56.98,264.7,53.11,0.85
253.86,55.87,267.61,53.15,0.867
257.07,55.15,270.51,53.24,0.883
260.75,54.04,273.41,53.39,0.9
263.96,53.32,276.31,53.57,0.917
267.65,52.95,279.19,53.81,0.934
274.31,52.58,282.08,54.1,0.951
277.09,52.58,284.94,54.43,0.967
280.78,52.58,287.82,54.81,0.984
285.11,52.58,290.69,55.24,1.001
288.8,52.58,293.56,55.72,1.017
292.49,52.58,296.4,56.24,1.034
296.71,52.58,299.24,56.82,1.051
300.4,53.32,302.08,57.44,1.068
304.09,54.79,304.91,58.1,1.084
308.0,56.69,307.71,58.82,1.1
311.32,58.54,310.49,59.57,1.117
314.64,60.75,313.28,60.38,1.134
316.85,64.15,316.06,61.23,1.15
316.85,64.15,318.8,62.13,1.166
316.85,64.15,321.55,63.08,1.183
316.85,64.15,324.28,64.07,1.2
316.85,64.15,326.99,65.11,1.216
316.85,64.15,329.67,66.18,1.233
316.85,64.15,332.34,67.31,1.25
316.85,64.15,335.0,68.48,1.266
316.85,64.15,337.62,69.69,1.283
