mouseX,mouseY,flowerX,flowerY,time_s
91.97,262.68,97.42,278.54,2.501
89.87,257.21,95.72,272.7,2.518
87.35,247.68,94.23,266.84,2.534
86.16,243.34,92.94,260.89,2.551
85.02,239.11,91.86,254.91,2.569
83.82,233.64,90.99,248.93,2.585
83.05,229.29,90.33,242.92,2.601
81.91,225.06,89.88,236.82,2.618
80.26,217.74,89.64,230.77,2.635
79.46,212.98,89.62,224.73,2.652
78.61,207.02,89.8,218.65,2.668
78.16,199.07,90.2,212.58,2.685
77.65,189.66,90.81,206.57,2.701
77.25,183.65,91.63,200.54,2.718
77.25,175.9,92.66,194.55,2.734
77.25,172.92,93.83,188.91,2.75
77.62,166.31,95.25,183.04,2.767
78.35,162.61,96.89,177.18,2.784
79.46,158.92,98.81,171.18,2.801
80.7,153.56,100.9,165.35,2.818
82.68,148.79,103.14,159.73,2.834
84.8,142.84,105.57,154.2,2.851
87.46,136.66,108.22,148.72,2.868
89.39,132.43,111.07,143.31,2.885
91.76,127.67,114.05,138.09,2.901
94.76,122.11,117.25,132.92,2.918
97.67,117.46,120.63,127.86,2.934
101.38,113.35,124.18,122.93,2.951
104.94,108.61,127.88,118.15,2.968
107.23,104.75,131.77,113.47,2.984
110.41,100.77,135.82,108.94,3.001
114.79,95.48,140.03,104.54,3.018
118.89,91.76,144.36,100.33,3.034
123.99,87.51,148.84,96.26,3.051
129.7,83.57,153.48,92.33,3.068
135.42,79.61,158.26,88.57,3.085
140.43,76.68,163.16,84.97,3.101
147.38,72.95,168.19,81.55,3.118
152.73,70.88,173.3,78.32,3.135
159.33,69.12,178.56,75.26,3.151
166.57,67.3,183.88,72.4,3.168
173.81,65.95,189.34,69.71,3.185
180.41,64.64,194.55,67.36,3.2
190.62,62.43,200.48,64.92,3.218
197.21,61.1,206.19,62.82,3.235
204.46,60.19,211.96,60.92,3.251
209.92,59.74,217.77,59.22,3.268
216.85,59.23,223.66,57.73,3.284
222.79,59.23,229.61,56.44,3.301
227.55,59.23,235.59,55.36,3.318
231.24,59.23,241.57,54.49,3.334
234.93,59.23,247.62,53.83,3.351
238.61,59.23,253.68,53.38,3.368
241.82,59.59,259.73,53.14,3.384
245.03,59.93,265.81,53.12,3.401
247.75,59.93,271.85,53.3,3.418
250.96,60.3,277.92,53.7,3.437
254.17,60.3,283.97,54.31,3.451
257.86,60.3,289.96,55.13,3.468
261.54,60.3,295.74,56.12,3.484
