mouseX,mouseY,flowerX,flowerY,time_s
367.21,103.29,366.24,86.69,2.5
365.42,100.44,364.02,85.1,2.516
364.11,98.13,361.62,83.43,2.532
363.19,96.61,359.08,81.73,2.55
362.32,95.46,356.67,80.17,2.567
361.75,94.32,354.2,78.63,2.583
361.2,93.74,351.71,77.14,2.6
360.67,93.22,349.2,75.69,2.617
359.81,92.36,346.68,74.28,2.633
358.97,91.8,344.11,72.92,2.65
357.82,90.66,341.53,71.59,2.667
356.31,89.45,338.94,70.32,2.683
354.79,88.56,336.41,69.12,2.7
353.07,87.13,333.67,67.89,2.717
351.92,86.26,331.01,66.74,2.733
350.77,85.68,328.33,65.64,2.75
348.89,84.74,325.64,64.58,2.767
346.58,83.77,322.9,63.56,2.783
345.1,82.66,320.33,62.65,2.799
339.98,80.1,317.45,61.68,2.817
335.05,77.2,314.68,60.8,2.834
328.25,73.58,311.9,59.97,2.85
319.35,69.11,309.1,59.19,2.867
313.34,66.11,306.34,58.46,2.883
307.39,63.55,303.49,57.76,2.9
302.62,61.56,300.66,57.12,2.918
300.24,61.16,297.97,56.55,2.932
293.03,58.77,294.98,55.98,2.951
289.71,57.75,292.14,55.48,2.967
286.49,56.32,289.25,55.02,2.983
284.18,55.66,286.39,54.62,3.0
282.24,55.32,283.51,54.26,3.017
281.09,55.03,280.64,53.95,3.033
279.95,55.03,277.8,53.69,3.05
279.11,54.77,274.87,53.47,3.067
278.27,54.77,271.97,53.31,3.083
277.44,54.77,269.07,53.19,3.1
276.91,54.77,266.16,53.12,3.117
275.77,54.77,263.43,53.1,3.133
273.88,55.08,260.37,53.13,3.15
271.15,55.42,257.49,53.21,3.167
268.41,55.76,254.67,53.33,3.183
266.11,55.76,251.69,53.5,3.2
263.8,55.76,248.79,53.73,3.217
257.72,56.49,245.9,54.0,3.234
253.49,56.89,243.03,54.31,3.25
251.11,57.28,240.31,54.66,3.265
245.56,58.02,237.29,55.09,3.283
242.77,58.7,234.43,55.55,3.3
240.46,59.04,231.58,56.06,3.317
238.16,59.38,228.73,56.61,3.333
235.85,59.38,226.01,57.19,3.35
233.11,59.71,223.06,57.87,3.367
230.38,60.05,220.26,58.56,3.383
228.07,60.05,217.46,59.31,3.4
226.19,60.68,214.66,60.1,3.417
224.67,60.68,211.9,60.94,3.434
222.79,61.3,209.13,61.82,3.45
220.48,61.62,206.38,62.75,3.467
217.27,62.32,203.66,63.72,3.483
214.05,62.66,200.94,64.74,3.5
210.84,63.03,198.24,65.81,3.516
208.1,63.71,195.56,66.92,3.533
204.35,64.45,193.01,68.03,3.549
200.01,65.97,190.27,69.27,3.567
195.24,67.56,187.66,70.51,3.584
191.49,68.69,185.2,71.73,3.599
186.73,69.88,182.49,73.12,3.617
183.03,71.36,180.06,74.43,3.633
179.34,72.83,177.4,75.91,3.65
176.6,74.19,175.02,77.29,3.666
173.11,76.52,172.4,78.87,3.684
169.78,78.73,170.01,80.37,3.7
166.93,80.51,167.52,81.99,3.717
165.05,81.76,165.13,83.6,3.733
163.9,82.62,162.87,85.17,3.749
163.07,83.16,160.39,86.97,3.767
162.52,83.99,158.07,88.71,3.783
161.68,85.39,155.79,90.48,3.801
160.84,86.21,153.54,92.28,3.817
160.58,86.47,151.41,94.05,3.832
159.45,87.87,149.1,96.03,3.85
158.62,88.7,146.93,97.96,3.867
157.02,90.29,144.9,99.82,3.883
154.54,92.45,142.68,101.92,3.901
152.03,94.58,140.64,103.93,3.917
150.15,95.83,138.59,106.02,3.933
148.27,97.08,136.7,107.99,3.949
147.12,97.93,134.63,110.24,3.967
