mouseX,mouseY,flowerX,flowerY,time_s
128.63,114.51,139.95,104.62,0.0
128.63,114.51,148.81,96.28,0.016
128.63,114.51,157.71,88.99,0.033
128.63,114.51,168.1,81.61,0.05
128.63,114.51,178.49,75.3,0.067
128.63,114.51,189.3,69.73,0.083
128.63,114.51,199.87,65.16,0.099
128.63,114.51,211.89,60.94,0.116
128.63,114.51,223.55,57.75,0.133
128.98,114.51,235.48,55.37,0.152
139.45,106.8,247.55,53.84,0.167
153.1,95.63,259.69,53.14,0.184
187.24,74.59,271.78,53.3,0.2
211.59,60.32,283.9,54.3,0.217
242.91,46.65,295.92,56.15,0.234
264.67,39.43,307.78,58.83,0.251
285.21,34.16,319.43,62.34,0.267
304.72,32.86,330.73,66.62,0.284
320.12,32.86,341.52,71.59,0.3
332.79,32.86,352.38,77.53,0.317
343.77,33.88,362.55,84.07,0.334
353.17,37.32,372.35,91.38,0.35
362.07,41.78,381.51,99.27,0.367
370.71,48.39,390.15,107.84,0.384
380.61,57.42,398.17,116.98,0.401
388.34,67.86,405.49,126.6,0.417
392.57,74.81,412.16,136.77,0.434
396.3,82.76,418.07,147.32,0.451
399.35,92.28,423.0,157.71,0.466
402.0,103.37,427.62,169.51,0.484
405.95,116.91,431.26,181.2,0.5
412.06,138.61,434.05,193.03,0.517
416.45,154.51,436.0,205.04,0.534
420.9,172.92,437.11,217.08,0.55
423.32,189.3,437.38,229.23,0.567
424.67,211.17,436.81,241.31,0.584
424.67,243.69,435.37,253.46,0.601
425.21,262.78,433.12,265.34,0.617
425.85,283.32,430.02,277.1,0.634
425.85,297.79,426.12,288.62,0.65
425.85,307.95,421.44,299.77,0.667
424.95,315.9,415.97,310.63,0.684
422.39,321.84,409.79,321.02,0.701
418.17,328.86,402.86,331.01,0.717
412.4,335.58,395.25,340.5,0.733
404.96,342.0,387.05,349.38,0.75
396.31,347.59,378.14,357.76,0.767
386.14,351.14,368.77,365.41,0.784
375.97,353.68,358.84,372.43,0.801
368.02,354.61,348.51,378.7,0.817
359.36,354.61,337.7,384.27,0.834
350.7,355.09,326.59,389.05,0.85
342.75,355.54,315.11,393.06,0.867
334.8,356.47,303.37,396.26,0.884
326.84,358.33,291.81,398.58,0.9
313.07,362.34,279.38,400.17,0.917
297.61,366.51,267.31,400.86,0.934
284.59,369.33,255.15,400.7,0.95
267.22,373.05,243.32,399.72,0.967
252.74,375.36,231.08,397.85,0.984
239.2,377.04,219.22,395.17,1.0
221.31,378.28,208.13,391.85,1.016
204.92,379.49,196.27,387.38,1.034
192.13,379.49,185.29,382.32,1.05
183.25,379.49,174.62,376.47,1.067
175.3,379.49,164.39,369.89,1.084
167.35,379.49,154.65,362.62,1.101
161.39,379.49,145.49,354.73,1.117
150.95,374.84,136.9,346.22,1.135
142.8,368.23,128.88,337.08,1.151
136.07,361.97,121.51,327.4,1.167
132.7,357.32,114.84,317.23,1.184
127.83,349.12,108.9,306.62,1.2
124.49,340.41,103.74,295.68,1.217
120.12,322.98,99.33,284.35,1.234
117.32,310.19,95.74,272.8,1.25
114.02,297.51,92.95,260.97,1.267
111.44,287.43,90.99,248.96,1.284
109.18,280.18,89.89,236.92,1.301
106.77,271.52,89.62,224.77,1.317
103.8,256.11,90.19,212.69,1.334
101.32,238.68,91.63,200.54,1.35
99.45,222.77,93.88,188.66,1.367
96.82,212.09,96.98,176.9,1.384
94.3,201.86,100.86,165.45,1.4
92.54,195.26,105.56,154.23,1.417
91.77,191.03,111.03,143.37,1.434
90.92,185.67,116.97,133.35,1.45
90.92,179.66,124.14,122.99,1.467
90.92,166.99,131.75,113.5,1.484
95.4,148.57,139.95,104.62,1.501
103.9,125.29,148.81,96.28,1.517
110.92,111.86,157.88,88.85,1.533
121.43,97.5,168.16,81.57,1.55
131.09,89.37,178.49,75.3,1.567
139.28,84.5,189.3,69.72,1.584
147.23,82.18,200.41,64.95,1.6
155.17,80.3,211.89,60.94,1.617
163.82,77.89,223.63,57.74,1.634
173.98,74.33,235.48,55.37,1.65
185.78,71.11,247.55,53.84,1.667
201.84,65.91,259.69,53.14,1.684
211.25,63.45,271.78,53.3,1.7
219.9,62.0,283.97,54.31,1.717
230.06,61.48,295.85,56.14,1.734
241.04,61.48,307.71,58.82,1.75
253.71,61.48,319.36,62.32,1.767
268.86,65.15,330.66,66.6,1.784
282.39,69.09,341.78,71.72,1.801
294.19,71.77,352.38,77.53,1.817
304.36,74.82,362.61,84.11,1.834
315.34,77.92,372.29,91.34,1.85
327.64,82.21,381.51,99.27,1.867
344.3,91.09,390.15,107.84,1.884
354.01,98.65,398.17,116.98,1.901
365.91,108.74,405.53,126.66,1.917
375.28,118.11,412.16,136.77,1.934
384.08,127.48,418.07,147.32,1.951
392.88,136.84,423.26,158.32,1.967
405.47,153.41,427.67,169.65,1.984
415.84,170.32,431.26,181.2,2.0
421.76,184.48,434.05,193.03,2.017
426.38,198.95,436.0,205.04,2.034
428.02,210.01,437.12,217.15,2.051
428.52,223.78,437.38,229.31,2.067
428.52,236.45,436.8,241.38,2.084
425.78,248.47,435.38,253.39,2.1
422.31,262.94,433.12,265.34,2.117
418.33,276.54,430.02,277.1,2.133
414.03,288.33,426.14,288.55,2.15
409.96,298.5,421.44,299.77,2.167
406.32,309.48,415.97,310.63,2.184
402.25,319.64,409.79,321.02,2.2
398.6,330.62,402.86,331.01,2.217
393.0,345.87,395.25,340.5,2.234
389.15,354.52,386.99,349.43,2.25
384.68,363.41,378.19,357.72,2.267
379.22,371.83,368.77,365.41,2.284
369.18,383.68,358.84,372.43,2.3
361.94,391.47,348.51,378.7,2.317
350.65,399.93,338.09,384.09,2.333
338.18,406.11,326.59,389.05,2.35
320.58,411.74,315.11,393.06,2.367
311.89,412.36,303.37,396.26,2.383
288.39,412.97,291.52,398.63,2.4
267.52,411.95,279.45,400.16,2.417
252.12,409.58,267.31,400.86,2.434
240.26,407.94,255.15,400.7,2.45
230.84,406.43,243.03,399.69,2.467
218.05,404.23,231.08,397.85,2.484
