mouseX,mouseY,flowerX,flowerY,time_s
296.57,51.7,292.66,55.01,5.001
298.87,52.69,295.56,55.46,5.017
300.38,53.29,298.46,55.96,5.034
302.68,54.25,301.34,56.51,5.051
307.25,55.64,304.2,57.1,5.067
310.99,57.16,307.05,57.74,5.084
315.33,58.78,309.92,58.44,5.101
319.55,60.68,312.75,59.18,5.117
323.24,62.52,315.58,59.97,5.134
325.96,63.88,318.39,60.8,5.15
328.27,65.18,321.18,61.68,5.167
330.68,66.91,323.95,62.6,5.184
335.07,69.72,326.74,63.58,5.2
339.6,73.0,329.49,64.6,5.217
345.15,76.0,332.19,65.65,5.234
349.0,78.29,334.91,66.76,5.25
353.39,81.1,337.61,67.92,5.267
356.71,83.68,340.29,69.12,5.284
359.67,85.89,342.95,70.37,5.3
362.68,88.5,345.57,71.65,5.317
364.78,90.91,348.19,72.99,5.334
368.0,94.94,350.77,74.35,5.351
370.61,97.95,353.34,75.78,5.367
373.2,101.27,355.89,77.24,5.384
375.32,103.77,358.39,78.73,5.4
377.54,106.72,360.89,80.28,5.417
379.66,109.22,363.36,81.87,5.434
381.88,112.17,365.8,83.5,5.451
384.09,115.49,368.21,85.16,5.467
385.45,118.22,370.59,86.87,5.484
387.23,121.06,372.95,88.62,5.5
388.2,123.36,375.27,90.4,5.517
389.16,125.66,377.57,92.23,5.533
389.76,127.17,379.82,94.08,5.55
390.36,128.68,382.06,95.98,5.567
390.36,129.19,384.27,97.92,5.584
390.61,129.96,386.44,99.9,5.6
390.61,130.22,388.56,101.9,5.616
390.86,130.22,390.67,103.95,5.633
390.86,130.22,392.74,106.03,5.651
390.86,130.22,394.76,108.13,5.667
390.86,130.22,396.75,110.27,5.683
391.09,130.22,398.73,112.47,5.7
391.09,130.22,400.65,114.67,5.716
391.09,130.46,402.54,116.92,5.733
391.09,130.46,404.39,119.2,5.751
391.32,130.46,406.19,121.49,5.767
391.32,130.7,407.97,123.83,5.784
391.32,130.7,409.71,126.2,5.801
391.56,130.7,411.4,128.6,5.817
391.56,130.7,413.05,131.01,5.833
391.56,130.93,414.66,133.45,5.851
391.56,130.93,416.23,135.93,5.866
391.56,130.93,417.76,138.43,5.883
391.56,130.93,419.26,140.96,5.9
391.56,130.93,420.7,143.5,5.917
391.56,130.93,422.05,145.99,5.933
391.56,130.93,423.46,148.68,5.951
391.56,130.93,424.78,151.29,5.967
391.56,130.93,426.05,153.93,5.984
391.56,130.93,426.05,153.93,6.0
391.56,130.93,424.78,151.29,6.016
391.56,130.93,423.46,148.67,6.033
391.56,130.7,422.09,146.06,6.052
391.56,130.7,420.7,143.5,6.067
391.56,130.46,419.25,140.95,6.084
391.56,130.46,417.76,138.43,6.101
391.56,130.46,416.22,135.91,6.117
391.56,130.46,414.66,133.45,6.134
391.56,130.46,413.04,130.99,6.151
391.56,130.46,411.39,128.58,6.167
391.56,130.46,409.7,126.19,6.184
391.56,130.46,407.97,123.83,6.2
391.56,130.46,406.19,121.49,6.217
391.56,130.46,404.38,119.18,6.233
391.56,130.46,402.53,116.9,6.25
391.56,129.99,400.65,114.67,6.268
391.56,129.15,398.72,112.45,6.284
390.7,128.0,396.75,110.27,6.3
389.49,126.49,394.76,108.13,6.317
386.9,123.53,392.74,106.03,6.334
383.83,120.06,390.67,103.95,6.35
379.8,116.83,388.56,101.9,6.367
376.65,113.68,386.42,99.89,6.384
