mouseX,mouseY,flowerX,flowerY,time_s
298.55,67.71,290.69,55.24,5.0
300.43,68.34,293.56,55.72,5.017
302.36,69.59,296.4,56.24,5.033
304.66,70.24,299.24,56.82,5.05
308.4,71.77,302.08,57.44,5.067
311.18,72.82,304.91,58.1,5.084
314.87,73.92,307.71,58.82,5.1
317.6,74.94,310.51,59.58,5.117
319.47,75.57,313.28,60.38,5.134
320.98,76.16,316.07,61.24,5.15
322.49,76.76,318.82,62.14,5.167
324.79,77.75,321.55,63.08,5.184
327.52,78.77,324.28,64.07,5.2
330.72,79.85,326.97,65.1,5.217
333.93,81.27,329.52,66.12,5.233
337.14,82.32,332.34,67.31,5.25
340.34,83.36,335.0,68.48,5.267
343.55,84.78,337.62,69.69,5.283
346.76,86.2,340.24,70.95,5.3
349.48,87.56,342.83,72.25,5.317
351.79,88.52,345.41,73.6,5.334
354.09,89.83,347.94,74.98,5.35
355.96,90.77,350.45,76.4,5.367
357.84,91.7,352.97,77.88,5.384
359.34,92.61,355.33,79.33,5.4
361.22,93.24,357.89,80.95,5.417
363.09,94.18,360.31,82.54,5.434
364.6,95.06,362.7,84.17,5.45
366.48,96.0,365.07,85.85,5.467
367.98,96.59,367.4,87.55,5.484
369.13,97.45,369.71,89.31,5.5
371.2,98.9,371.98,91.09,5.517
372.71,99.81,374.25,92.93,5.534
374.22,100.72,376.46,94.79,5.55
375.73,101.63,378.65,96.69,5.567
377.69,103.28,380.8,98.62,5.583
380.55,105.41,382.93,100.6,5.6
382.52,107.06,385.01,102.6,5.617
385.47,109.27,387.07,104.64,5.634
387.88,111.0,389.09,106.72,5.65
389.39,112.2,391.07,108.83,5.667
390.9,113.11,393.03,110.97,5.683
392.04,113.96,394.95,113.15,5.7
393.18,114.53,396.82,115.35,5.717
394.32,115.1,398.67,117.59,5.734
395.83,115.7,400.47,119.86,5.751
397.34,116.3,402.24,122.17,5.767
398.84,117.18,403.97,124.48,5.783
400.35,117.78,405.66,126.84,5.8
401.49,118.35,407.31,129.23,5.817
402.01,118.86,408.91,131.63,5.833
402.52,119.38,410.49,134.07,5.85
403.04,119.38,412.01,136.53,5.867
