mouseX,mouseY,flowerX,flowerY,time_s
363.57,85.57,370.58,86.86,2.501
362.05,84.37,368.18,85.14,2.518
361.21,83.82,365.78,83.48,2.534
360.38,83.56,363.33,81.85,2.551
359.54,83.27,360.88,80.27,2.568
358.39,82.98,358.39,78.73,2.584
356.51,82.66,355.86,77.22,2.601
355.0,82.35,353.32,75.77,2.618
353.11,82.03,350.77,74.35,2.634
351.23,81.71,348.18,72.98,2.651
348.92,81.05,345.56,71.64,2.668
346.19,80.71,342.94,70.36,2.685
343.45,80.37,340.28,69.12,2.701
338.63,79.57,337.6,67.91,2.717
331.9,78.4,334.91,66.76,2.734
328.15,78.0,332.19,65.65,2.751
324.46,77.26,329.46,64.59,2.768
321.72,76.92,326.7,63.57,2.784
319.84,76.29,323.95,62.6,2.801
318.32,76.0,321.16,61.67,2.818
316.81,75.39,318.38,60.79,2.834
314.93,75.07,315.54,59.96,2.851
311.71,74.73,312.71,59.17,2.867
307.37,73.96,309.89,58.43,2.884
302.01,73.14,307.05,57.74,2.901
297.66,72.71,304.19,57.1,2.918
292.9,71.52,301.33,56.51,2.934
289.2,70.77,298.44,55.96,2.951
286.47,70.09,295.55,55.46,2.968
283.73,69.06,292.65,55.0,2.984
279.98,68.32,289.74,54.6,3.001
275.16,67.15,286.82,54.24,3.018
268.56,66.27,283.92,53.94,3.034
263.2,65.45,281.01,53.68,3.051
257.25,64.59,278.08,53.47,3.067
253.55,64.22,275.15,53.31,3.084
251.24,63.88,272.23,53.2,3.101
249.36,63.56,269.29,53.14,3.118
247.84,63.27,266.37,53.12,3.134
246.33,63.27,263.42,53.16,3.151
244.81,63.27,260.5,53.24,3.168
242.93,63.27,257.58,53.38,3.184
241.05,63.27,254.65,53.56,3.201
239.9,63.27,251.72,53.79,3.218
238.38,63.27,248.8,54.07,3.235
237.55,63.27,245.9,54.39,3.251
235.09,63.27,242.99,54.77,3.268
232.78,63.27,240.08,55.2,3.284
230.47,63.27,237.2,55.67,3.301
227.26,63.27,234.31,56.19,3.317
224.95,63.27,231.44,56.76,3.334
223.07,63.27,228.57,57.37,3.351
221.18,63.9,225.71,58.04,3.368
218.88,64.24,222.86,58.75,3.384
214.64,65.37,220.03,59.51,3.401
210.41,66.9,217.2,60.32,3.417
208.03,67.7,214.51,61.14,3.433
201.84,69.62,211.63,62.07,3.451
197.61,71.15,208.87,63.01,3.468
195.76,71.89,206.24,63.95,3.483
191.18,73.99,203.36,65.04,3.501
188.87,75.29,200.63,66.13,3.517
186.14,76.31,197.92,67.26,3.534
183.83,77.3,195.24,68.43,3.551
181.52,77.96,192.57,69.65,3.567
179.64,78.89,189.92,70.91,3.584
177.75,79.52,187.29,72.22,3.601
176.24,80.4,184.7,73.57,3.618
175.09,80.97,182.12,74.96,3.634
173.94,81.54,179.57,76.39,3.651
173.11,82.09,177.03,77.88,3.668
171.96,82.94,174.54,79.39,3.684
170.81,83.8,172.05,80.95,3.7
169.66,84.94,169.59,82.56,3.717
168.46,86.45,167.16,84.21,3.734
167.57,87.95,164.77,85.88,3.751
166.31,89.52,162.4,87.61,3.768
165.11,91.02,160.05,89.38,3.784
164.19,92.53,157.75,91.17,3.801
162.61,95.34,155.46,93.02,3.818
161.3,97.64,153.21,94.9,3.834
160.1,99.15,151.0,96.81,3.851
159.21,100.66,148.8,98.76,3.867
158.68,101.18,146.66,100.74,3.884
158.16,101.69,144.53,102.77,3.901
157.9,102.21,142.44,104.83,3.918
157.65,102.21,140.39,106.93,3.934
157.65,102.46,138.38,109.05,3.95
157.41,102.71,136.39,111.21,3.967
156.9,102.95,134.44,113.41,3.984
156.65,102.95,134.47,113.38,4.001
156.41,102.95,136.42,111.19,4.018
156.41,102.95,138.4,109.02,4.034
156.16,102.95,140.42,106.89,4.05
156.16,102.95,142.47,104.81,4.067
156.16,102.95,144.56,102.74,4.083
156.16,102.71,146.68,100.72,4.102
156.16,102.19,148.84,98.73,4.118
156.16,101.93,151.02,96.78,4.133
156.16,101.68,153.23,94.88,4.15
156.16,101.68,155.49,92.99,4.167
156.16,101.68,157.77,91.15,4.183
156.16,101.68,160.09,89.35,4.2
156.16,101.68,162.42,87.59,4.217
156.16,101.68,164.8,85.86,4.234
156.16,101.68,167.21,84.18,4.251
156.16,101.68,169.62,82.54,4.268
156.16,100.64,172.07,80.94,4.286
156.16,98.76,174.57,79.37,4.301
157.36,97.24,177.06,77.86,4.318
159.4,95.19,179.59,76.39,4.334
164.07,90.94,182.16,74.94,4.351
170.64,86.0,184.73,73.55,4.368
172.48,84.89,187.24,72.25,4.383
177.31,81.51,189.97,70.89,4.401
178.82,80.62,192.6,69.63,4.418
179.33,80.09,195.27,68.41,4.434
179.85,79.83,197.97,67.24,4.451
180.11,79.57,200.66,66.11,4.467
180.11,79.32,203.37,65.04,4.485
180.39,78.49,206.14,63.99,4.501
180.96,77.29,208.9,63.0,4.517
183.46,75.15,211.65,62.06,4.534
187.43,71.97,214.46,61.15,4.551
192.52,68.14,217.25,60.31,4.567
199.31,64.06,220.06,59.5,4.584
207.0,59.25,222.91,58.74,4.601
215.9,54.78,225.75,58.03,4.617
223.84,51.52,228.59,57.37,4.634
231.79,48.24,231.46,56.75,4.651
236.61,46.59,234.34,56.18,4.668
243.05,44.72,237.23,55.66,4.684
248.74,43.41,240.12,55.19,4.701
254.74,42.11,243.02,54.77,4.717
258.48,42.11,245.93,54.39,4.734
262.17,41.73,248.84,54.06,4.751
265.38,41.73,251.76,53.79,4.768
267.25,41.73,254.67,53.56,4.784
268.76,41.73,257.6,53.37,4.801
269.59,41.73,260.54,53.24,4.817
270.41,41.73,263.47,53.16,4.834
271.24,41.73,266.39,53.12,4.851
272.44,41.73,269.33,53.14,4.867
274.2,42.33,272.26,53.2,4.884
275.34,42.62,275.2,53.31,4.9
277.22,43.24,278.11,53.48,4.917
278.73,43.84,281.04,53.69,4.934
281.03,44.49,283.95,53.94,4.951
283.33,45.8,286.87,54.25,4.967
286.05,46.82,289.79,54.61,4.984
