mouseX,mouseY,flowerX,flowerY,time_s
313.17,62.29,294.12,55.23,5.001
317.27,64.72,297.0,55.7,5.018
320.59,66.57,299.89,56.23,5.034
323.32,67.93,302.78,56.8,5.051
325.2,69.18,305.65,57.42,5.068
326.7,70.09,308.33,58.05,5.084
328.21,71.28,311.32,58.8,5.101
329.15,71.59,314.02,59.53,5.116
331.59,73.1,316.98,60.37,5.134
333.1,74.01,319.79,61.23,5.151
334.61,74.89,322.57,62.13,5.168
335.75,75.46,325.34,63.08,5.184
336.58,76.01,328.11,64.08,5.202
337.09,76.27,330.85,65.12,5.218
337.92,76.55,333.58,66.21,5.235
338.75,77.09,336.27,67.34,5.251
339.58,77.64,338.96,68.52,5.267
340.72,78.21,341.62,69.74,5.284
342.23,78.8,344.12,70.94,5.3
344.1,80.05,346.75,72.25,5.316
345.98,80.99,349.48,73.66,5.334
348.28,82.3,352.07,75.06,5.351
350.58,83.6,354.62,76.51,5.367
352.45,84.85,357.14,77.98,5.384
354.87,86.58,359.65,79.51,5.401
357.37,88.71,362.14,81.08,5.417
361.8,92.03,364.59,82.69,5.435
364.75,94.24,367.01,84.33,5.451
368.86,97.95,369.41,86.02,5.467
372.96,101.65,371.78,87.75,5.484
377.8,106.01,374.11,89.5,5.501
382.19,110.4,376.43,91.31,5.518
386.43,115.07,378.7,93.15,5.534
389.57,118.21,380.95,95.03,5.551
392.75,122.18,383.16,96.94,5.567
395.44,126.01,385.36,98.91,5.584
397.65,129.33,387.51,100.89,5.601
399.43,132.17,389.63,102.93,5.618
400.74,134.47,391.7,104.98,5.634
401.93,135.98,393.76,107.08,5.651
402.53,137.48,395.78,109.21,5.669
403.07,138.31,397.75,111.37,5.684
403.33,138.83,399.69,113.57,5.701
403.62,139.66,401.59,115.78,5.718
403.88,140.17,403.46,118.05,5.735
404.39,140.69,405.31,120.36,5.751
404.39,141.2,407.09,122.67,5.768
404.65,141.72,408.84,125.01,5.784
404.91,141.98,410.55,127.39,5.801
404.91,141.98,412.14,129.67,5.816
404.91,141.98,413.77,132.09,5.833
404.91,141.98,415.45,134.69,5.85
404.91,141.98,417.01,137.18,5.867
405.14,141.98,418.51,139.69,5.884
405.14,141.98,419.98,142.23,5.9
405.14,141.98,421.33,144.66,5.917
405.14,141.98,422.79,147.39,5.934
405.37,141.98,424.13,150.0,5.951
405.37,141.98,425.42,152.6,5.967
405.6,141.98,426.67,155.26,5.984
405.84,141.98,425.41,152.59,6.0
406.08,141.98,424.12,149.97,6.017
406.08,141.98,422.78,147.35,6.034
406.32,141.98,421.4,144.78,6.05
406.32,141.98,419.97,142.21,6.067
406.32,141.98,418.51,139.69,6.084
406.32,141.98,417.06,137.27,6.1
406.32,141.98,415.44,134.68,6.117
406.55,141.98,413.85,132.21,6.134
406.55,141.98,412.22,129.79,6.15
406.78,141.98,410.55,127.39,6.168
406.78,141.98,408.84,125.01,6.184
406.78,141.98,407.07,122.64,6.201
406.78,141.98,405.3,120.34,6.217
406.78,141.98,403.45,118.03,6.234
406.78,141.98,401.58,115.77,6.251
406.78,141.98,399.68,113.55,6.267
406.78,141.98,397.84,111.47,6.283
406.78,141.98,395.78,109.21,6.301
406.78,141.98,393.75,107.07,6.317
406.78,141.98,391.7,104.98,6.334
406.78,141.74,389.62,102.91,6.352
405.95,141.19,387.49,100.88,6.368
399.53,134.77,385.35,98.9,6.385
391.67,126.41,383.16,96.94,6.401
384.46,118.78,380.95,95.03,6.418
377.45,111.77,378.81,93.24,6.435
373.74,107.23,376.42,91.3,6.451
372.0,104.8,374.11,89.5,6.468
371.16,103.97,371.8,87.76,6.484
370.64,103.45,369.4,86.01,6.501
369.54,102.92,366.99,84.32,6.518
369.28,102.92,364.71,82.76,6.534
367.56,101.77,362.17,81.09,6.551
366.04,100.57,359.65,79.51,6.568
364.44,99.25,357.13,77.97,6.584
362.93,98.05,354.75,76.58,6.6
361.41,96.84,352.03,75.05,6.618
360.26,95.98,349.61,73.73,6.633
358.75,95.09,346.89,72.32,6.651
357.23,94.48,344.27,71.0,6.668
355.35,93.54,341.62,69.74,6.684
353.04,92.23,338.95,68.51,6.701
349.34,90.01,336.26,67.33,6.718
345.99,87.73,333.56,66.21,6.734
342.66,85.52,330.84,65.12,6.752
339.81,83.72,328.09,64.07,6.768
337.5,82.41,325.34,63.08,6.784
335.54,80.75,322.56,62.13,6.801
332.75,79.02,319.77,61.23,6.818
328.83,76.63,316.98,60.37,6.834
325.61,75.54,314.16,59.56,6.851
322.4,74.12,311.35,58.81,6.868
317.34,72.29,308.49,58.09,6.891
315.97,71.95,305.63,57.42,6.901
312.75,70.86,302.91,56.83,6.916
310.02,70.17,299.89,56.23,6.934
304.66,68.1,297.0,55.7,6.951
300.32,66.48,294.11,55.23,6.968
294.84,64.75,291.22,54.8,6.984
291.09,63.61,288.31,54.42,7.001
287.4,62.49,285.39,54.09,7.018
284.66,61.8,282.46,53.8,7.034
282.78,61.49,279.71,53.58,7.05
281.63,60.91,276.8,53.4,7.067
279.18,59.99,273.71,53.25,7.084
276.87,59.02,270.93,53.17,7.1
273.65,57.96,267.83,53.13,7.117
270.92,57.27,264.9,53.14,7.134
268.61,56.61,261.98,53.2,7.151
266.73,56.3,259.04,53.3,7.167
265.58,56.01,256.11,53.46,7.184
263.7,56.01,253.2,53.67,7.201
261.81,56.01,250.29,53.92,7.218
257.47,56.01,247.45,54.21,7.234
253.13,55.58,244.45,54.58,7.251
248.78,55.58,241.54,54.98,7.269
244.02,55.58,238.66,55.42,7.284
239.79,55.58,235.76,55.92,7.301
236.09,55.58,232.89,56.46,7.318
233.78,55.58,230.15,57.03,7.334
231.05,56.26,227.13,57.7,7.351
228.26,56.94,224.31,58.38,7.368
224.03,57.7,221.45,59.12,7.384
220.81,58.41,218.64,59.9,7.401
216.58,59.54,215.82,60.73,7.418
212.89,60.65,213.19,61.56,7.433
209.67,61.7,210.4,62.48,7.45
206.46,62.4,207.48,63.5,7.468
203.24,63.45,204.72,64.52,7.484
